id,gebjahr,berufstaetig,arbeitsstd,arztbes,rauch,gro,gew,schulabschluss,schulabschluss_v,schulabschluss_m,hoe_abschluss,hoe_abschluss_v,hoe_abschluss_m,netto,zufr,alter,frau
2693,1971,HAUPTBERUFL.HALBTAGS,28,1,nein,165,74,FACHHOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULABSCHLUSS,HOCHSCHULABSCHLUSS,HOCHSCHULABSCHLUSS,2400,8,43,weiblich
3178,1941,NICHT ERWERBSTAETIG,,0,nein,180,83,"VOLKS-,HAUPTSCHULE",,,LEHRE,,,,10,73,männlich
1762,1968,HAUPTBERUFL.GANZTAGS,45,0,nein,180,95,MITTLERE REIFE,HOCHSCHULREIFE,MITTLERE REIFE,"MEISTER, TECHNIKER",FACHHOCHSCHULABSCHL.,"MEISTER, TECHNIKER",2500,8,46,männlich
2769,1941,NICHT ERWERBSTAETIG,,0,nein,163,80,HOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULREIFE,LEHRE,,KEIN ABSCHLUSS,1000,7,73,weiblich
1394,1961,NICHT ERWERBSTAETIG,,0,nein,189,91,"VOLKS-,HAUPTSCHULE",,"VOLKS-,HAUPTSCHULE",LEHRE,,KEIN ABSCHLUSS,400,9,53,männlich
2537,1982,NEBENHER BERUFSTAE.,,0,ja,155,77,HOCHSCHULREIFE,OHNE ABSCHLUSS,"VOLKS-,HAUPTSCHULE",HOCHSCHULABSCHLUSS,KEIN ABSCHLUSS,,,9,32,weiblich
3359,1943,NICHT ERWERBSTAETIG,,1,nein,176,87,MITTLERE REIFE,MITTLERE REIFE,HOCHSCHULREIFE,LEHRE,"MEISTER, TECHNIKER",KEIN ABSCHLUSS,500,5,71,weiblich
424,1938,NEBENHER BERUFSTAE.,,0,ja,170,67,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",700,6,76,weiblich
69,1983,HAUPTBERUFL.GANZTAGS,43,0,nein,168,55,"VOLKS-,HAUPTSCHULE",MITTLERE REIFE,MITTLERE REIFE,LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",2400,7,31,weiblich
3314,1980,NICHT ERWERBSTAETIG,,1,nein,191,103,OHNE ABSCHLUSS,,"VOLKS-,HAUPTSCHULE",KEIN ABSCHLUSS,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",1500,9,34,männlich
721,1969,HAUPTBERUFL.GANZTAGS,37,10,nein,170,73,HOCHSCHULREIFE,,,ANDERER ABSCHLUSS,"MEISTER, TECHNIKER",KEIN ABSCHLUSS,425,7,45,weiblich
3138,1951,NICHT ERWERBSTAETIG,,5,nein,167,80,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,1000,9,63,männlich
2432,1932,NICHT ERWERBSTAETIG,,8,nein,176,115,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,,,1500,8,82,männlich
3051,1957,NEBENHER BERUFSTAE.,,0,nein,162,68,HOCHSCHULREIFE,,"VOLKS-,HAUPTSCHULE",HOCHSCHULABSCHLUSS,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,1200,10,57,weiblich
1720,1963,HAUPTBERUFL.HALBTAGS,30,1,nein,168,74,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",FACHHOCHSCHULABSCHL.,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,,6,51,weiblich
2990,1944,NICHT ERWERBSTAETIG,,6,nein,170,63,MITTLERE REIFE,FACHHOCHSCHULREIFE,MITTLERE REIFE,LEHRE,FACHHOCHSCHULABSCHL.,FACHHOCHSCHULABSCHL.,850,7,70,weiblich
886,1980,HAUPTBERUFL.GANZTAGS,40,2,nein,182,95,HOCHSCHULREIFE,,,HOCHSCHULABSCHLUSS,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,,8,34,männlich
1053,1966,HAUPTBERUFL.GANZTAGS,42,0,ja,182,89,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER","GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,,8,48,weiblich
1704,1970,NICHT ERWERBSTAETIG,,1,nein,175,100,MITTLERE REIFE,MITTLERE REIFE,FACHHOCHSCHULREIFE,"MEISTER, TECHNIKER",,"MEISTER, TECHNIKER",1700,7,44,weiblich
2071,1943,NICHT ERWERBSTAETIG,,2,nein,171,60,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,1300,8,71,männlich
2320,1972,HAUPTBERUFL.GANZTAGS,40,3,ja,183,83,HOCHSCHULREIFE,MITTLERE REIFE,MITTLERE REIFE,HOCHSCHULABSCHLUSS,"MEISTER, TECHNIKER",KAUFMAENNISCHE LEHRE,2500,9,42,männlich
2260,1958,HAUPTBERUFL.GANZTAGS,35,0,nein,168,78,FACHHOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",FACHHOCHSCHULABSCHL.,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,,8,56,männlich
1023,1944,NEBENHER BERUFSTAE.,,1,nein,178,90,HOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULREIFE,FACHHOCHSCHULABSCHL.,HOCHSCHULABSCHLUSS,HOCHSCHULABSCHLUSS,1200,7,70,weiblich
1248,1965,HAUPTBERUFL.GANZTAGS,41,1,ja,183,93,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",FACHHOCHSCHULABSCHL.,KEIN ABSCHLUSS,KEIN ABSCHLUSS,1500,10,49,männlich
2245,1985,HAUPTBERUFL.GANZTAGS,54,0,ja,172,54,MITTLERE REIFE,HOCHSCHULREIFE,HOCHSCHULREIFE,LEHRE,HOCHSCHULABSCHLUSS,HOCHSCHULABSCHLUSS,1800,9,29,männlich
2069,1984,HAUPTBERUFL.HALBTAGS,24,4,nein,167,100,FACHHOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULREIFE,ANDERER ABSCHLUSS,HOCHSCHULABSCHLUSS,,,7,30,weiblich
478,1992,NEBENHER BERUFSTAE.,,11,nein,176,62,HOCHSCHULREIFE,MITTLERE REIFE,MITTLERE REIFE,KEIN ABSCHLUSS,"MEISTER, TECHNIKER",KAUFMAENNISCHE LEHRE,250,8,22,männlich
3301,1952,HAUPTBERUFL.GANZTAGS,44,1,nein,189,97,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER","GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,2500,9,62,männlich
3123,1958,HAUPTBERUFL.GANZTAGS,45,2,nein,168,69,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER","GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",1600,8,56,weiblich
1996,1930,NICHT ERWERBSTAETIG,,2,nein,175,72,OHNE ABSCHLUSS,OHNE ABSCHLUSS,MITTLERE REIFE,KEIN ABSCHLUSS,KEIN ABSCHLUSS,,,10,84,männlich
327,1967,HAUPTBERUFL.GANZTAGS,65,1,nein,176,75,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"MEISTER, TECHNIKER","GEWERBL.,LANDW.LEHRE",900,8,47,männlich
2773,1952,HAUPTBERUFL.GANZTAGS,50,1,nein,169,70,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER","MEISTER, TECHNIKER",KAUFMAENNISCHE LEHRE,1850,5,62,männlich
3464,1942,NICHT ERWERBSTAETIG,,1,nein,174,67,FACHHOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER","GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",800,10,72,männlich
1963,1971,HAUPTBERUFL.GANZTAGS,40,0,nein,169,75,MITTLERE REIFE,MITTLERE REIFE,MITTLERE REIFE,LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",850,8,43,weiblich
1973,1978,HAUPTBERUFL.GANZTAGS,55,0,nein,165,62,HOCHSCHULREIFE,MITTLERE REIFE,MITTLERE REIFE,FACHHOCHSCHULABSCHL.,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",2270,9,36,weiblich
1988,1984,HAUPTBERUFL.GANZTAGS,45,0,nein,174,88,HOCHSCHULREIFE,FACHHOCHSCHULREIFE,MITTLERE REIFE,HOCHSCHULABSCHLUSS,"MEISTER, TECHNIKER",FACHHOCHSCHULABSCHL.,3200,8,30,männlich
3448,1972,HAUPTBERUFL.GANZTAGS,40,6,ja,186,80,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",FACHHOCHSCHULREIFE,LEHRE,KEIN ABSCHLUSS,KEIN ABSCHLUSS,2100,5,42,männlich
2549,1978,HAUPTBERUFL.GANZTAGS,40,0,nein,175,72,MITTLERE REIFE,HOCHSCHULREIFE,HOCHSCHULREIFE,LEHRE,,FACHHOCHSCHULABSCHL.,,9,36,männlich
531,1987,NEBENHER BERUFSTAE.,,0,ja,182,90,HOCHSCHULREIFE,,"VOLKS-,HAUPTSCHULE",HOCHSCHULABSCHLUSS,"MEISTER, TECHNIKER",KAUFMAENNISCHE LEHRE,1300,10,27,männlich
973,1980,HAUPTBERUFL.GANZTAGS,43,2,ja,170,,HOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULREIFE,KEIN ABSCHLUSS,HOCHSCHULABSCHLUSS,HOCHSCHULABSCHLUSS,1200,10,34,weiblich
2169,1946,NICHT ERWERBSTAETIG,,4,nein,156,59,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,1400,10,68,weiblich
2025,1957,HAUPTBERUFL.GANZTAGS,20,0,nein,185,67,"VOLKS-,HAUPTSCHULE",,"VOLKS-,HAUPTSCHULE",LEHRE,,,2500,9,57,männlich
1602,1967,HAUPTBERUFL.GANZTAGS,40,1,nein,196,100,HOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULABSCHLUSS,HOCHSCHULABSCHLUSS,FACHHOCHSCHULABSCHL.,2700,9,47,männlich
315,1956,NICHT ERWERBSTAETIG,,0,nein,177,80,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",ANDERER ABSCHLUSS,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",,10,58,weiblich
66,1966,HAUPTBERUFL.HALBTAGS,30,1,nein,163,63,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",600,6,48,weiblich
1950,1976,HAUPTBERUFL.GANZTAGS,65,3,nein,178,78,FACHHOCHSCHULREIFE,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE",FACHHOCHSCHULABSCHL.,HOCHSCHULABSCHLUSS,KAUFMAENNISCHE LEHRE,10000,7,38,männlich
1604,1936,NICHT ERWERBSTAETIG,,3,nein,162,58,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,470,9,78,weiblich
1499,1989,HAUPTBERUFL.GANZTAGS,42,0,nein,174,65,FACHHOCHSCHULREIFE,MITTLERE REIFE,MITTLERE REIFE,LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",1300,8,25,weiblich
842,1946,NICHT ERWERBSTAETIG,,3,nein,165,88,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",KEIN ABSCHLUSS,KAUFMAENNISCHE LEHRE,"GEWERBL.,LANDW.LEHRE",1300,8,68,männlich
934,1940,NICHT ERWERBSTAETIG,,1,nein,170,68,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,KEIN ABSCHLUSS,KEIN ABSCHLUSS,950,8,74,männlich
3156,1959,HAUPTBERUFL.GANZTAGS,45,2,ja,170,98,MITTLERE REIFE,,MITTLERE REIFE,FACHHOCHSCHULABSCHL.,,KEIN ABSCHLUSS,1900,9,55,männlich
1815,1949,NICHT ERWERBSTAETIG,,2,ja,167,53,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",1750,10,65,weiblich
3059,1972,HAUPTBERUFL.GANZTAGS,40,0,ja,180,105,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,ANDERER ABSCHLUSS,KAUFMAENNISCHE LEHRE,1300,5,42,männlich
2356,1955,HAUPTBERUFL.GANZTAGS,39,0,ja,180,84,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",ANDERER ABSCHLUSS,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",1500,8,59,männlich
3388,1960,HAUPTBERUFL.HALBTAGS,15,2,nein,172,70,HOCHSCHULREIFE,ANDERER ABSCHLUSS,ANDERER ABSCHLUSS,HOCHSCHULABSCHLUSS,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",1430,9,54,weiblich
470,1958,NICHT ERWERBSTAETIG,,2,nein,157,72,MITTLERE REIFE,HOCHSCHULREIFE,FACHHOCHSCHULREIFE,"MEISTER, TECHNIKER","GEWERBL.,LANDW.LEHRE","MEISTER, TECHNIKER",1815,9,56,weiblich
2899,1973,NICHT ERWERBSTAETIG,,5,nein,160,65,MITTLERE REIFE,FACHHOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE",LEHRE,FACHHOCHSCHULABSCHL.,KEIN ABSCHLUSS,450,10,41,weiblich
1618,1968,HAUPTBERUFL.GANZTAGS,45,1,ja,180,90,"VOLKS-,HAUPTSCHULE",MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER","MEISTER, TECHNIKER","GEWERBL.,LANDW.LEHRE",2300,5,46,männlich
791,1968,HAUPTBERUFL.GANZTAGS,45,2,ja,187,100,OHNE ABSCHLUSS,OHNE ABSCHLUSS,HOCHSCHULREIFE,KEIN ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",FACHHOCHSCHULABSCHL.,2570,6,46,männlich
2195,1991,NEBENHER BERUFSTAE.,,1,nein,176,65,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE",HOCHSCHULREIFE,KEIN ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",ANDERER ABSCHLUSS,400,7,23,weiblich
2189,1955,HAUPTBERUFL.GANZTAGS,35,1,nein,172,78,MITTLERE REIFE,HOCHSCHULREIFE,HOCHSCHULREIFE,"MEISTER, TECHNIKER",HOCHSCHULABSCHLUSS,"MEISTER, TECHNIKER",1000,7,59,weiblich
400,1947,NICHT ERWERBSTAETIG,,2,nein,160,58,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,230,7,67,weiblich
1697,1994,HAUPTBERUFL.GANZTAGS,40,1,nein,178,103,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",KEIN ABSCHLUSS,KAUFMAENNISCHE LEHRE,KEIN ABSCHLUSS,,7,20,männlich
1204,1965,NEBENHER BERUFSTAE.,,1,ja,169,70,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",MITTLERE REIFE,KEIN ABSCHLUSS,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",1150,1,49,weiblich
3115,1959,HAUPTBERUFL.GANZTAGS,40,1,ja,186,90,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",MITTLERE REIFE,LEHRE,KEIN ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",,10,55,männlich
1559,1962,NICHT ERWERBSTAETIG,,1,ja,165,80,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",MITTLERE REIFE,"MEISTER, TECHNIKER",KEIN ABSCHLUSS,KEIN ABSCHLUSS,,7,52,weiblich
2338,1987,NICHT ERWERBSTAETIG,,0,ja,170,90,FACHHOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE",MITTLERE REIFE,ANDERER ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,1300,4,27,weiblich
2422,1951,NICHT ERWERBSTAETIG,,6,nein,170,80,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER","MEISTER, TECHNIKER","GEWERBL.,LANDW.LEHRE",1500,6,63,männlich
1256,1995,HAUPTBERUFL.GANZTAGS,40,2,ja,169,58,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",KEIN ABSCHLUSS,KEIN ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",450,3,19,weiblich
2749,1971,HAUPTBERUFL.GANZTAGS,50,1,nein,175,65,MITTLERE REIFE,MITTLERE REIFE,MITTLERE REIFE,LEHRE,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,2300,8,43,weiblich
3046,1968,HAUPTBERUFL.GANZTAGS,40,3,ja,175,85,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,KAUFMAENNISCHE LEHRE,KAUFMAENNISCHE LEHRE,,10,46,weiblich
3412,1988,HAUPTBERUFL.HALBTAGS,25,3,nein,160,45,MITTLERE REIFE,FACHHOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE",LEHRE,FACHHOCHSCHULABSCHL.,"GEWERBL.,LANDW.LEHRE",,8,26,weiblich
379,1978,HAUPTBERUFL.HALBTAGS,24,3,nein,172,61,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,KAUFMAENNISCHE LEHRE,KEIN ABSCHLUSS,2200,8,36,weiblich
1088,1984,HAUPTBERUFL.GANZTAGS,40,4,nein,176,82,"VOLKS-,HAUPTSCHULE",,"VOLKS-,HAUPTSCHULE",KEIN ABSCHLUSS,,"GEWERBL.,LANDW.LEHRE",457,9,30,männlich
613,1966,NICHT ERWERBSTAETIG,,3,nein,160,62,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",ANDERER ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,450,6,48,weiblich
3258,1957,HAUPTBERUFL.GANZTAGS,20,0,nein,184,125,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,KEIN ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",3200,8,57,männlich
487,1947,HAUPTBERUFL.GANZTAGS,50,6,ja,166,80,HOCHSCHULREIFE,MITTLERE REIFE,HOCHSCHULREIFE,HOCHSCHULABSCHLUSS,KAUFMAENNISCHE LEHRE,KAUFMAENNISCHE LEHRE,2000,8,67,männlich
2456,1985,HAUPTBERUFL.GANZTAGS,45,0,nein,180,61,HOCHSCHULREIFE,OHNE ABSCHLUSS,OHNE ABSCHLUSS,HOCHSCHULABSCHLUSS,KEIN ABSCHLUSS,KEIN ABSCHLUSS,2500,8,29,männlich
943,1941,NICHT ERWERBSTAETIG,,0,nein,168,77,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,KEIN ABSCHLUSS,KEIN ABSCHLUSS,1030,9,73,männlich
872,1943,NICHT ERWERBSTAETIG,,5,ja,186,90,"VOLKS-,HAUPTSCHULE",,,KEIN ABSCHLUSS,,,,4,71,männlich
926,1986,HAUPTBERUFL.GANZTAGS,50,3,nein,193,97,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"MEISTER, TECHNIKER",,2200,7,28,männlich
1619,1975,HAUPTBERUFL.GANZTAGS,55,0,ja,164,62,MITTLERE REIFE,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",ANDERER ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,325,8,39,weiblich
2092,1979,HAUPTBERUFL.GANZTAGS,25.5,3,ja,165,48,FACHHOCHSCHULREIFE,MITTLERE REIFE,MITTLERE REIFE,LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",1100,8,35,weiblich
2776,1980,HAUPTBERUFL.HALBTAGS,10,5,nein,181,72,FACHHOCHSCHULREIFE,OHNE ABSCHLUSS,OHNE ABSCHLUSS,"MEISTER, TECHNIKER",KEIN ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",2000,9,34,männlich
3350,1972,NICHT ERWERBSTAETIG,,2,nein,184,112,HOCHSCHULREIFE,OHNE ABSCHLUSS,OHNE ABSCHLUSS,"MEISTER, TECHNIKER",KEIN ABSCHLUSS,KEIN ABSCHLUSS,,7,42,männlich
784,1963,HAUPTBERUFL.GANZTAGS,45,1,nein,164,64,FACHHOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",FACHHOCHSCHULABSCHL.,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,2270,8,51,weiblich
124,1937,HAUPTBERUFL.GANZTAGS,48,0,ja,175,77,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,1700,9,77,männlich
3062,1967,HAUPTBERUFL.HALBTAGS,30,2,nein,178,68,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",1600,10,47,weiblich
2352,1993,NICHT ERWERBSTAETIG,,5,ja,176,66,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",KEIN ABSCHLUSS,,KEIN ABSCHLUSS,1100,9,21,männlich
2709,1994,HAUPTBERUFL.GANZTAGS,38,1,ja,169,75,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",KEIN ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,,8,20,weiblich
2182,1945,NICHT ERWERBSTAETIG,,7,nein,160,56,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,400,7,69,weiblich
1226,1990,NICHT ERWERBSTAETIG,,4,ja,173,120,NOCH SCHUELER,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",NOCH SCHUELER,"MEISTER, TECHNIKER",KAUFMAENNISCHE LEHRE,450,7,24,weiblich
39,1953,HAUPTBERUFL.GANZTAGS,55,2,ja,185,83,HOCHSCHULREIFE,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",HOCHSCHULABSCHLUSS,"GEWERBL.,LANDW.LEHRE",ANDERER ABSCHLUSS,3000,8,61,männlich
3111,1990,NICHT ERWERBSTAETIG,,4,nein,163,66,"VOLKS-,HAUPTSCHULE",HOCHSCHULREIFE,OHNE ABSCHLUSS,"MEISTER, TECHNIKER","MEISTER, TECHNIKER","GEWERBL.,LANDW.LEHRE",,7,24,weiblich
1389,1981,HAUPTBERUFL.HALBTAGS,20,0,nein,184,92,MITTLERE REIFE,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",730,9,33,weiblich
2757,1984,HAUPTBERUFL.HALBTAGS,32,0,nein,165,70,HOCHSCHULREIFE,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE",HOCHSCHULABSCHLUSS,HOCHSCHULABSCHLUSS,KAUFMAENNISCHE LEHRE,1600,9,30,weiblich
463,1987,HAUPTBERUFL.HALBTAGS,16,3,nein,160,56,HOCHSCHULREIFE,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",HOCHSCHULABSCHLUSS,"MEISTER, TECHNIKER","GEWERBL.,LANDW.LEHRE",1300,10,27,weiblich
389,1953,HAUPTBERUFL.HALBTAGS,20,12,nein,180,120,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,KEIN ABSCHLUSS,KEIN ABSCHLUSS,650,8,61,weiblich
1044,1987,HAUPTBERUFL.GANZTAGS,41,2,nein,170,67,MITTLERE REIFE,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",FACHHOCHSCHULABSCHL.,ANDERER ABSCHLUSS,KAUFMAENNISCHE LEHRE,4000,9,27,männlich
1598,1990,HAUPTBERUFL.GANZTAGS,55,0,nein,176,76,ANDERER ABSCHLUSS,OHNE ABSCHLUSS,"VOLKS-,HAUPTSCHULE",KEIN ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,312,7,24,männlich
1138,1975,HAUPTBERUFL.GANZTAGS,40,0,nein,161,50,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",MITTLERE REIFE,LEHRE,KEIN ABSCHLUSS,KAUFMAENNISCHE LEHRE,1750,9,39,weiblich
2745,1970,NICHT ERWERBSTAETIG,,0,nein,188,82,HOCHSCHULREIFE,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",HOCHSCHULABSCHLUSS,FACHHOCHSCHULABSCHL.,KEIN ABSCHLUSS,,10,44,männlich
907,1964,NEBENHER BERUFSTAE.,,0,nein,156,88,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,450,7,50,weiblich
2083,1989,HAUPTBERUFL.GANZTAGS,40,2,nein,172,60,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",HOCHSCHULABSCHLUSS,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",1726,4,25,weiblich
311,1956,HAUPTBERUFL.GANZTAGS,60,1,nein,192,103,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",HOCHSCHULABSCHLUSS,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,5000,9,58,männlich
